"id","ident","title","created_at","updated_at"
1,"care","Care Ministries","2015-07-08 10:55:07","2015-07-08 10:55:07"
2,"celebrate","Celebrate","2015-07-08 10:55:07","2015-07-08 10:55:07"
3,"family","Family Ministry","2015-07-08 10:55:07","2015-07-08 10:55:07"
4,"fpkids","fpKids","2015-07-08 10:55:07","2015-07-08 10:55:07"
5,"groups","Adult Groups","2015-07-08 10:55:07","2015-07-08 10:55:07"
6,"men","Men's Groups","2015-07-08 10:55:07","2015-07-08 10:55:07"
7,"missions","Missions","2015-07-08 10:55:07","2015-07-08 10:55:07"
8,"prayer","Prayer Ministry","2015-07-08 10:55:07","2015-07-08 10:55:07"
9,"fpstudents","fpStudents","2015-07-08 10:55:07","2015-07-08 10:55:07"
10,"women","Women's Groups","2015-07-08 10:55:07","2015-07-08 10:55:07"
11,"worship","Worship Ministry","2015-07-08 10:55:07","2015-07-08 10:55:07"
12,"youngadults","Young Adults","2015-07-08 10:55:07","2015-07-08 10:55:07"
