id,"ident","name","created_at","updated_at"
1,"east-asia","East Asia","2015-07-07 08:05:32","2015-07-07 08:05:32"
2,"south-africa","South Africa","2015-07-07 08:05:32","2015-07-07 08:05:32"
3,"honduras","Honduras","2015-07-07 08:05:32","2015-07-07 08:05:32"
4,"bahamas","Bahamas","2015-07-07 08:05:32","2015-07-07 08:05:32"
5,"haiti","Haiti","2015-07-07 08:05:32","2015-07-07 08:05:32"
6,"portugal","Portugal","2015-07-07 08:05:32","2015-07-07 08:05:32"
7,"jamaica","Jamaica","2015-07-07 08:05:32","2015-07-07 08:05:32"
8,"new-york-city","New York City","2015-07-07 08:05:32","2015-07-07 08:05:32"
10,"mexico","Mexico","2015-07-07 08:05:32","2015-07-07 08:05:32"
11,"costa-rica","Costa Rica","2015-07-07 08:05:32","2015-07-07 08:05:32"
15,"big-creek-ky","Big Creek, KY","2015-07-07 08:05:32","2015-07-07 08:05:32"
