id,staff_id,team_id
1,1,1
63,2,1
2,2,8
61,4,1
3,4,6
4,6,8
5,7,8
6,10,8
7,20,3
8,25,2
9,26,6
10,27,5
11,28,6
12,30,6
13,32,8
14,33,8
15,34,5
16,35,5
17,45,4
62,46,1
18,46,7
19,48,8
20,49,8
21,54,3
22,60,7
23,62,8
24,66,5
25,67,8
26,68,3
27,69,5
28,71,2
29,72,6
30,73,6
31,76,4
32,77,5
33,78,8
34,79,3
35,80,3
36,82,8
37,84,2
38,85,8
39,86,8
40,87,8
41,89,5
42,92,2
43,95,6
44,97,4
45,98,3
46,102,6
47,105,3
48,106,4
49,108,3
50,109,6
51,110,6
52,111,3
53,112,5
54,113,6
55,114,4
56,116,6
57,117,3
58,118,5
59,119,6
60,120,8
